22	33	24	49	64	36	33	56	14	48	28	41	40	48	62	23	36	44	22	22	18	34	30	56	20	19	13	52	24	46	27	36	30	52	30	36	42	33	42	32	32	25	29	34	26	24	37	56	29	38
746	535	168	1038	2213	132	1992	2169	54	2290	180	1142	535	830	1112	317	394	335	1872	160	1959	188	528	311	1058	174	645	1854	1650	669	1366	1394	321	352	289	179	485	482	390	3330	319	190	3028	200	590	341	471	615	563	552
20	33	17	46	48	44	33	20	14	54	26	43	34	40	59	21	50	34	18	14	24	38	22	66	30	21	17	44	20	42	29	34	32	38	28	25	34	26	34	41	28	23	39	36	24	26	29	51	32	28
203	147	89	526	767	415	1312	1483	118	906	312	437	165	623	489	193	321	231	1362	38	729	496	549	698	714	47	1177	249	84	257	69	666	1520	345	114	335	342	881	108	708	1149	86	747	205	89	1354	313	588	1038	1181
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
740	728	754	757	743	818	794	772	820	835	814	824	775	752	798	777	843	814	790	797	787	831	819	938	738	879	740	809	825	830	737	887	764	763	843	832	791	810	778	750	765	785	731	822	826	822	823	835	855	865
28	83	21	43	74	42	25	18	14	42	36	56	32	46	55	23	58	38	28	24	34	28	32	56	22	21	17	52	26	50	59	56	30	48	24	47	38	24	42	27	28	33	34	34	26	26	50	57	29	36
2564	3868	1171	3540	4028	204	4208	464	808	3937	84	817	2224	4400	4347	1409	4390	167	4480	72	3392	355	3870	320	2798	3448	3952	3761	3906	4378	4759	2384	3678	3301	1447	2303	5082	1064	5068	4457	4821	1427	4525	141	138	2188	789	679	451	3060
24	41	15	51	47	38	27	20	10	46	41	41	30	52	68	21	66	40	40	16	32	34	36	64	24	25	15	58	26	46	33	38	30	42	34	56	36	20	40	35	30	17	33	48	32	34	35	60	23	24
1965	1864	1134	2624	2472	1702	2498	2628	2579	3256	328	4205	923	1812	1179	2530	2876	3049	3125	1459	1766	3092	2304	689	3100	1106	2182	2080	1321	1582	2280	1846	2961	2841	1904	2196	2579	1385	4434	3644	4296	1516	3570	269	1087	2910	1762	2277	1036	2013
Inf	Inf	Inf	Inf	Inf	Inf	Inf	164	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	57	Inf
382	348	378	381	384	346	366	290	369	365	336	348	381	391	360	363	347	362	351	374	386	372	371	338	383	381	378	388	349	390	390	354	387	368	374	327	348	336	367	368	357	363	383	334	350	378	364	367	106	379
30	49	17	40	46	40	35	24	26	50	35	37	38	52	55	17	42	38	18	16	20	32	34	64	26	21	15	64	20	48	41	40	28	36	26	30	34	28	52	37	32	15	51	42	26	28	37	50	31	32
3414	1795	3545	538	1257	722	4482	3358	1077	2360	3383	4497	2222	1381	1283	516	1571	2262	2619	3404	2403	2033	2018	548	5067	53	654	2341	1206	1566	2591	1516	836	2682	424	730	4980	1106	1942	2023	3054	154	1613	2315	469	1051	2973	2630	369	256
28	35	23	48	36	30	72	24	14	44	32	42	28	50	53	18	42	40	22	14	16	28	28	64	26	21	15	46	20	52	29	34	26	38	32	34	42	22	54	37	26	13	27	30	28	30	45	42	39	30
3381	685	111	1977	3913	146	1444	1226	2606	525	284	4441	121	3340	916	643	982	1451	2580	585	76	896	1834	608	1599	2214	1314	493	1256	1377	4314	856	429	556	132	990	3922	411	395	2883	3936	149	4218	72	78	191	1002	1408	1007	416
20	35	19	60	74	38	31	66	18	42	32	44	38	52	91	21	56	44	18	14	22	46	28	64	36	21	23	56	24	54	29	52	32	36	26	35	46	22	42	38	30	56	33	64	28	50	68	60	35	69
136	1408	983	3993	4324	81	250	2572	1784	2486	926	4523	3271	4470	770	659	1944	3751	486	30	3834	718	3818	4160	1654	189	3706	830	3792	1749	191	910	3959	630	123	1084	5095	3890	629	4775	1738	4379	612	883	505	3032	3265	1730	2850	4044
26	34	23	47	93	42	47	44	18	44	42	49	38	54	55	21	50	38	24	14	22	48	30	68	50	27	24	44	22	42	31	40	30	36	46	31	64	22	42	42	42	17	35	30	36	40	68	60	40	28
2166	3522	819	3814	4075	341	2340	1231	510	2306	444	4360	3836	541	2240	4109	4256	4845	4269	40	2001	892	3819	718	3648	3113	431	4467	2968	1747	2450	1236	3964	1818	403	153	5043	1928	1896	5055	4918	2883	4463	243	3220	5065	3483	4155	1114	3168
Inf	Inf	Inf	Inf	243	Inf	Inf	164	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	57	Inf
498	468	469	476	427	436	448	290	453	453	425	436	477	488	454	458	442	462	453	469	481	458	459	424	479	476	471	482	433	478	480	448	467	468	475	420	441	439	475	484	448	465	477	420	467	491	464	470	106	479
26	49	35	52	36	30	43	24	20	40	31	45	38	36	52	21	46	36	18	18	16	56	28	70	22	23	21	62	30	42	69	40	28	33	26	59	36	28	36	35	34	19	29	34	26	24	37	46	29	22
2487	1787	961	1397	2742	520	2505	4063	1689	2098	889	5045	1672	2160	1603	2017	1728	1273	3145	1488	2135	1068	2911	2095	4162	2596	2380	2023	2930	2037	1110	1045	1527	3328	1513	1886	4514	1490	3387	2851	3717	1620	1931	2342	631	2035	2636	2117	2279	2767
34	48	15	48	59	34	27	40	16	50	30	54	26	44	55	23	40	38	20	18	20	60	36	66	22	23	19	56	28	46	33	58	32	38	42	50	42	24	70	36	32	19	44	52	34	36	33	55	27	50
4529	3776	3318	3710	3520	1134	3604	3992	3026	1085	776	4282	631	2007	4898	4650	4408	3213	3785	2431	2108	2748	3192	1525	4474	152	3874	4127	3294	3676	3824	2153	3528	3610	1452	4379	5076	5023	4626	3845	3136	2830	3202	2203	949	2839	3883	2107	3568	2778
22	35	19	48	38	38	27	44	18	46	52	67	32	41	56	19	58	38	50	18	24	34	28	76	20	27	19	62	22	54	80	34	36	39	30	50	42	30	48	40	26	17	31	40	28	32	35	52	35	42
4217	2198	1117	1821	3546	1517	1128	3392	1900	2803	2370	3173	2255	2697	2224	1989	2263	3154	3816	1529	2748	2228	3118	1100	3372	1784	3318	1337	2859	3172	3297	1616	3631	3441	1179	2264	3775	3188	3038	4733	4841	2930	1379	1378	1934	1547	2086	3232	2399	3295
26	41	19	56	51	34	33	64	24	46	59	41	40	48	66	29	48	38	64	16	20	48	32	60	28	25	19	64	22	56	31	88	38	54	28	43	44	20	52	35	36	19	31	28	24	26	39	52	29	30
478	2748	275	2374	291	198	262	851	1010	201	687	206	178	502	586	2700	296	142	594	31	46	1010	1449	836	450	86	49	1211	150	1756	91	1390	487	828	107	596	540	368	294	1752	203	606	416	196	451	343	1098	1726	796	1097
