Inf	16	13	54	Inf	Inf	Inf	34	52	62	Inf	46	51	36	54	62	72	53	Inf	26	Inf	73	Inf	Inf	74	15	Inf	Inf	Inf	40	Inf	Inf	Inf	Inf	Inf	Inf	66	30	38	Inf	52	54	Inf	32	Inf	56	30	Inf	39	39
55280	1133	810	57016	58263	53571	56928	6780	43164	33439	54347	8116	15309	8407	51770	56429	84921	44191	61131	6471	56550	91050	59611	56430	51901	3155	57582	52095	53946	4982	54825	57051	55314	59539	55898	57112	46057	468	42405	57724	14029	44053	54330	12060	59036	64276	18184	55998	51501	4377
68	16	15	60	104	72	100	46	58	50	71	54	55	46	58	64	74	57	102	30	78	88	100	82	88	15	65	71	43	52	61	82	62	58	77	100	84	30	46	81	58	74	76	44	88	66	22	88	43	57
23590	995	70	7203	11957	28080	52618	4305	3135	9642	19779	2363	2070	3345	11823	3834	29858	6541	90780	4997	18306	40755	50497	18855	21142	737	10602	16570	1384	1398	9182	46093	37484	38990	29988	51801	27073	511	2462	121037	2410	13760	14177	4912	35010	26118	2319	56647	2778	2786
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
1643	2086	2131	2118	1817	1878	2033	2197	2039	1916	1506	2410	1841	2322	1716	1933	1630	2008	2017	1722	2029	2303	2146	1934	2556	2101	2138	1924	2333	1912	1745	1830	2092	2179	1593	2086	1787	2040	2316	1996	2227	2043	2090	2230	1794	1925	2116	1907	1438	2103
Inf	16	11	Inf	Inf	Inf	Inf	26	Inf	Inf	Inf	Inf	Inf	36	40	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	13	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	40	Inf	Inf	24	Inf	Inf	Inf	Inf	Inf	Inf
55453	17518	2012	55790	61625	59046	60540	27515	60116	56428	59175	57018	60024	44735	56997	60306	63043	58346	62200	59893	60738	62036	62526	60809	60685	6733	59159	56842	59006	58113	61822	59308	59526	62185	59512	59219	56026	56476	61012	60429	38780	58329	60788	31583	60248	60867	60626	56675	57133	59135
58	20	11	54	98	72	97	44	56	56	65	40	53	42	54	56	88	45	92	40	82	97	112	70	86	29	63	67	41	40	59	84	70	58	67	88	76	24	46	87	66	74	64	38	95	60	26	80	47	59
121747	29321	2138	42381	117557	119756	130630	52074	60300	53810	106909	66921	52344	20937	89796	114993	108687	69889	97776	59295	133526	88297	81401	118709	73048	10533	94664	74823	42985	72736	104195	101694	62343	92856	110764	104715	88880	54195	80219	126239	24374	90491	58725	29869	102526	73752	64907	63194	110113	74941
Inf	82	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
571	181	645	565	604	584	612	623	589	605	523	542	555	591	493	571	623	541	540	507	540	537	536	617	647	556	575	574	528	612	592	590	615	586	558	642	448	586	493	538	621	592	582	633	573	571	631	552	531	529
Inf	16	13	62	Inf	72	77	44	68	60	Inf	61	53	42	62	60	Inf	Inf	Inf	44	Inf	Inf	Inf	Inf	Inf	17	70	Inf	45	54	Inf	78	Inf	Inf	Inf	Inf	Inf	30	Inf	Inf	74	74	Inf	42	88	Inf	32	Inf	41	111
60652	7511	5748	23816	67215	38779	31559	11576	30137	21314	63925	22477	20419	14067	46340	31388	66426	59533	64741	41445	61440	78521	68304	63954	65457	1162	59944	61216	51130	34818	63871	30720	59821	67407	67330	69205	68500	2509	73282	68899	48810	58090	67037	38290	58979	73968	62243	65987	40231	64040
50	16	11	46	74	66	73	36	60	52	63	36	51	42	50	50	70	47	78	24	62	66	76	58	74	13	55	54	43	32	51	66	50	56	66	70	52	26	40	71	48	62	59	34	76	62	22	72	33	39
76904	46017	1990	28738	114750	67908	121290	21242	31656	22781	119684	9058	46903	43679	36062	13296	108003	58989	112236	2686	95935	94570	89792	60696	84217	2834	61810	54989	17286	9793	109755	43353	32039	100034	143401	91260	76128	3385	71473	121229	39424	88143	100460	13253	91171	56915	26007	81519	84601	3292
38	16	13	40	68	44	62	24	50	44	57	38	51	36	36	46	62	40	62	20	54	56	66	54	62	13	51	42	41	32	41	50	40	54	48	56	48	24	30	52	38	50	45	24	56	52	18	54	31	33
137543	24301	1878	121239	127675	128151	137602	28837	135432	69521	96027	131653	105630	76882	119584	110442	125038	117192	127801	22617	127791	120158	114581	141503	105722	5404	90131	80504	134747	46513	116479	137188	126705	132710	137993	125796	135672	21921	29434	128771	100960	79739	136936	45661	127464	120653	20125	123965	48986	111681
38	16	11	40	70	44	62	30	50	40	57	38	51	36	48	46	62	42	66	20	54	60	68	70	56	13	54	48	41	32	43	54	44	54	52	56	48	24	32	56	38	48	49	24	56	52	16	54	31	33
140487	32593	2706	122753	136995	128252	137949	24341	132170	41606	127868	130530	134506	45652	121420	116684	135410	128942	125335	20661	136609	117516	125022	145136	115490	7615	132696	136415	94711	17466	125234	128730	135601	128523	128416	144872	133803	72261	62525	126176	90182	123620	117922	22722	113090	91057	56168	115979	94264	142896
Inf	82	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
721	181	881	803	841	820	819	855	788	814	714	743	780	830	672	764	821	769	746	725	766	770	715	856	844	784	787	784	712	816	813	775	820	814	733	853	629	796	681	730	816	802	782	841	762	772	850	752	747	752
56	16	13	50	Inf	60	68	30	60	50	59	40	51	38	50	58	68	47	80	28	68	74	104	72	80	13	60	66	41	36	51	74	52	56	75	76	76	24	40	78	54	60	61	38	78	62	24	66	31	35
136925	20051	1917	85723	128781	102683	123065	76925	101764	81667	133515	55458	99492	47897	50143	79890	114588	80331	123086	66732	136489	109875	123240	112072	101594	21723	79988	129035	41293	28651	118344	136574	100385	110763	119167	123095	121551	26599	124654	102124	61456	100094	122337	74027	96524	104671	36741	91535	104882	53600
76	22	11	63	102	98	122	36	66	60	69	54	95	58	72	60	92	51	104	48	130	94	140	94	98	25	61	62	41	52	69	98	86	74	80	114	84	38	42	121	88	82	75	40	98	72	34	101	49	67
128630	57612	70102	59009	131610	98105	96430	49262	47783	22200	133488	87020	125323	67900	101087	79060	118542	108288	109798	49859	141742	122012	111799	113506	114139	123755	81957	109130	93186	88905	128540	92490	114900	99689	144393	135305	57633	108252	134323	118302	25479	97883	135464	87097	103297	83858	71176	116054	134799	109742
50	18	11	54	110	62	90	34	74	60	75	44	51	46	54	60	84	57	96	30	88	111	114	82	94	15	67	64	41	46	55	86	73	58	67	94	80	28	46	84	66	76	78	58	96	80	24	80	53	63
45540	38134	1094	69790	100516	67160	133787	58591	81661	33094	120995	61768	90643	12234	59302	39422	100034	94922	116287	68469	113209	109756	108643	120470	102733	15591	62586	117237	50433	7099	92349	118516	81281	86520	117312	100929	93760	4512	54151	99541	70391	94182	136333	42992	119186	78507	6576	45035	110925	20327
Inf	16	11	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	24	Inf	Inf	Inf	Inf	Inf	13	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	20	Inf	Inf	Inf
10330	2203	2198	12448	12915	12130	13037	14029	12558	11932	14637	12013	11512	13778	11668	13159	13079	12374	14093	10385	12686	12590	14090	11680	14234	4164	13047	11895	13011	10575	11276	11357	12827	11834	11701	12136	10326	12638	15563	11862	13296	11832	14188	12804	12548	13022	6247	12263	10095	12555
Inf	82	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
715	181	864	784	805	804	798	833	761	800	693	730	759	812	661	746	807	752	731	705	747	758	705	848	837	775	772	776	703	804	805	766	813	805	728	844	621	784	671	727	812	788	776	839	750	765	841	743	730	716
70	16	13	54	104	70	82	38	74	62	77	50	51	46	62	50	92	51	108	54	84	78	110	74	94	13	67	67	45	50	69	84	66	58	74	100	74	30	42	99	58	72	68	40	84	76	24	86	45	51
