Inf	Inf	19	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	58	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	66	Inf	Inf	Inf	Inf	Inf	Inf	Inf	32	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
898	876	718	895	864	854	837	857	826	836	842	475	840	843	829	860	866	851	841	808	828	875	826	808	843	815	791	782	807	376	784	790	824	823	814	831	816	130	820	812	795	791	787	798	791	811	786	771	761	802
Inf	Inf	15	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	57	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	15	Inf	Inf	47	52	Inf	Inf	Inf	Inf	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
865	899	48	895	884	889	899	888	874	908	892	819	488	891	939	616	678	662	688	661	679	666	694	691	642	254	621	680	393	317	679	687	678	631	679	685	674	463	678	680	651	672	664	653	660	645	660	678	639	687
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
357	332	300	319	348	329	328	325	349	325	312	337	269	348	300	304	318	320	337	303	287	349	328	317	348	316	338	322	326	303	319	338	327	327	299	333	324	329	344	325	351	329	371	340	312	342	338	327	331	303
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
635	680	669	684	703	695	671	661	664	655	666	666	676	644	674	670	662	655	664	669	626	660	658	656	644	657	675	643	672	658	643	665	625	654	589	548	575	645	565	595	651	678	681	679	655	652	670	586	647	565
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
714	721	708	698	711	702	709	684	709	693	681	704	716	707	713	691	692	675	672	694	691	682	646	672	682	649	655	681	653	676	685	677	617	620	692	689	691	670	695	688	687	682	664	688	697	687	660	691	690	689
