Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
384	365	370	385	338	339	346	290	370	344	350	322	374	371	374	349	386	352	379	361	381	338	363	362	389	366	341	355	368	329	307	366	373	410	341	378	351	366	331	322	325	353	354	345	359	295	376	327	376	341
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
265	272	344	308	351	360	386	320	385	335	267	268	279	309	298	367	368	304	346	310	326	355	381	254	350	359	357	337	327	379	322	305	292	351	253	387	368	288	343	344	366	375	338	373	348	354	356	220	268	260
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	12	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
268	266	267	249	283	302	253	244	285	280	257	241	299	282	249	270	277	267	214	265	305	256	292	242	317	297	254	247	279	285	245	275	256	294	303	247	250	292	267	247	231	270	290	239	254	249	261	260	258	257
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
216	242	273	240	263	269	277	276	256	259	268	274	247	253	230	300	269	249	277	262	288	258	278	259	273	309	287	256	244	288	264	270	301	266	234	303	291	245	289	284	302	245	271	276	280	291	286	245	294	285
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	12	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
253	320	252	290	245	299	250	254	261	273	285	267	290	268	317	275	298	284	57	254	250	284	301	267	282	284	266	244	249	260	262	306	286	313	310	297	280	302	258	284	259	268	259	286	257	262	237	290	263	269
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
335	304	277	287	312	304	268	284	296	326	306	248	254	320	301	315	272	311	337	246	284	292	299	317	307	273	313	316	289	320	266	325	299	312	308	331	304	268	266	291	279	301	303	273	293	315	274	287	273	254
