86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1574	1428	1863	1327	1524	453	1067	1569	992	1749	1454	1352	792	1185	518	1830	1651	1289	927	1232	1768	1158	732	1997	1186	1449	1299	1486	1777	1125	1530	1731	1539	1156	240	1013	535	1652	1060	1883	442	1029	1781	1482	1199	904	1269	1417	1669	1162
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1461	839	701	705	1330	466	1806	942	618	1731	1657	1530	679	586	1079	1592	1168	1515	655	609	1586	1654	833	1763	1557	261	1212	1262	1572	1445	734	989	1253	1508	750	1719	1089	1284	1137	1608	474	1775	1550	818	812	717	1158	1114	723	1315
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
2046	2077	2046	2078	2077	2046	2078	2077	2078	2078	2109	2078	2109	2077	2077	2109	2110	2077	2109	2078	2046	2110	2046	2078	2078	2077	2046	2109	2078	2077	2078	2046	2046	2046	2110	2046	2109	2078	2078	2046	2077	2078	2078	2110	2077	2078	2046	2109	2046	2078
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1745	803	1477	896	869	919	817	830	1417	1618	397	1635	852	934	477	1362	1117	1518	964	884	1168	1390	661	1067	1777	930	1776	1382	1126	862	546	1127	1713	1477	570	1782	1526	1670	1261	1653	938	1777	524	1312	1591	1172	645	1096	752	903
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1264	1130	813	1024	1164	782	539	895	943	1537	1426	1353	749	1082	1268	1557	1560	651	1041	433	1447	1846	748	1892	1563	306	1007	2013	902	1063	1250	729	1459	1932	1257	1878	489	1293	1254	1790	506	1942	777	390	963	1015	1344	1319	1139	1992
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1721	1310	958	1311	1224	611	1300	1176	616	831	1449	1744	387	758	937	1565	1477	1608	1163	289	1653	1439	440	2001	1867	338	1746	770	1692	1191	1410	760	1714	988	354	1902	1138	994	1174	1305	1062	1980	896	1401	1177	1342	1116	1346	896	1256
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1731	1195	1746	1153	881	433	1558	965	1006	1086	711	1040	572	1028	513	1235	1009	1301	961	531	1114	1700	481	1599	1141	602	1041	2002	1450	851	985	796	766	1757	860	2004	826	1739	1128	1654	807	622	1452	1192	1586	625	554	735	544	1898
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1374	1262	1514	1137	1036	630	944	1363	1204	1551	1671	1143	677	967	940	1585	1058	1093	443	489	902	1342	700	1828	1669	493	722	1846	1519	924	661	1364	847	1943	775	1343	460	1145	867	1701	702	1727	996	533	1422	784	1208	1144	1116	1881
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
