86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1574	1428	1863	1327	1524	453	1067	1569	992	1749	1454	1352	792	1185	518	1830	1651	1289	927	1232	1768	1158	732	1997	1186	1449	1299	1486	1777	1125	1530	1731	1539	1156	240	1013	535	1652	1060	1883	442	1029	1781	1482	1199	904	1269	1417	1669	1162
86	84	116	98	124	78	86	120	110	90	90	120	124	116	110	128	114	122	78	80	122	108	114	116	132	96	112	132	104	100	104	126	94	92	58	90	110	92	118	134	94	102	84	120	108	82	104	94	110	110
1461	839	701	705	1330	466	1806	942	618	1731	1657	1530	679	586	1079	1592	1168	1515	655	609	1586	1654	833	1763	1557	261	1212	1262	1572	1445	734	989	1253	1508	750	1719	1089	1284	1137	1608	474	1775	1550	818	812	717	1158	1114	723	1315
86	84	116	98	124	78	86	120	110	90	90	120	124	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2046	2077	2046	2078	2077	2046	2078	2077	2078	2078	2109	2078	2109	366	353	352	346	347	341	342	338	334	336	329	329	329	326	326	322	320	314	315	312	309	309	310	309	305	305	304	296	294	291	306	304	302	298	294	390	384
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	90	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
445	434	429	422	424	417	414	412	410	403	397	396	394	392	380	381	384	393	380	382	379	380	377	377	377	364	362	384	293	282	272	270	268	266	267	262	261	262	263	260	257	253	251	257	251	458	444	435	435	425
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
276	274	278	270	277	267	267	267	271	269	265	261	261	262	298	292	292	292	283	286	293	288	283	279	279	273	276	275	273	269	270	263	264	264	264	260	263	263	263	263	303	299	278	279	275	275	271	268	274	268
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	80	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
408	404	402	396	398	395	387	387	387	379	378	377	370	366	367	361	364	360	352	289	350	348	344	341	363	284	282	285	277	274	268	271	266	267	270	263	267	262	270	260	306	334	331	292	463	449	443	434	434	428
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
415	416	411	403	407	397	394	395	388	385	380	377	374	367	364	377	336	299	289	291	290	285	301	299	300	289	277	279	270	270	270	267	264	261	260	255	256	255	254	250	247	444	431	425	419	414	409	403	407	401
