Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	35	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	Inf	Inf	Inf	Inf	Inf	31	Inf	Inf	Inf
2827	2757	2454	2377	2380	2744	2811	2634	2609	103	2399	2585	2754	2419	2625	2851	2667	2570	2502	2771	2784	2657	2508	2404	2753	2510	2580	2605	2463	2710	2739	2636	2788	2565	2510	2640	2556	2732	2772	64	2715	2638	2678	2662	2509	2527	163	2458	2723	2656
Inf	Inf	Inf	Inf	Inf	43	Inf	Inf	52	69	Inf	53	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	40	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	60	29	Inf	57	Inf	Inf	Inf	Inf	Inf	Inf	Inf	35
137829	128922	120969	126493	123299	1067	137802	128546	1973	69696	120933	38435	131711	81149	46346	50452	128443	129105	122759	130565	112762	130176	117470	109990	115572	127481	128606	123505	100027	128160	130329	131716	84222	127998	127480	130843	124810	133305	89418	11206	58644	16770	77818	128560	26184	130190	120477	120779	29964	20956
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2715	2672	2376	2361	2368	2613	2753	2529	2584	2514	2165	2597	2636	2348	2543	2764	2514	2460	2351	2621	2694	2487	2528	2171	2678	2539	2388	2548	2388	2586	2664	2635	2723	2567	2582	2693	2441	2531	2534	891	2607	2511	2651	2416	2440	2495	2313	2329	2642	2512
46	Inf	38	Inf	Inf	41	Inf	Inf	40	32	Inf	37	Inf	Inf	Inf	Inf	32	38	Inf	Inf	Inf	Inf	Inf	73	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	45	Inf	Inf	Inf	41	32	Inf	Inf	33
84027	119783	68833	113563	112457	12318	128290	116297	28511	26049	110318	17652	124307	81149	46346	50452	16285	45743	117443	120282	112762	118325	112358	77297	118231	118025	111620	117387	114154	122278	124123	118574	84222	114335	121243	120209	115827	119385	122795	3104	58644	19970	77818	121903	26184	44697	79345	111437	29964	48374
68	Inf	Inf	Inf	Inf	41	Inf	Inf	44	64	Inf	68	Inf	Inf	Inf	Inf	Inf	60	Inf	Inf	Inf	Inf	Inf	Inf	61	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	41	Inf	62	Inf	Inf	Inf	Inf	Inf	Inf	Inf	47
121751	99535	91191	94208	93931	602	149078	98029	39009	26159	92280	69806	112281	81149	46346	50452	100936	83224	94156	139488	99153	99914	91116	92603	118786	98833	95836	94492	92967	98140	136984	114402	84222	99259	97455	154138	94751	98062	111270	37721	58644	10009	77818	98435	26184	112729	90514	90235	29964	38469
50	Inf	42	Inf	Inf	43	Inf	Inf	40	35	Inf	37	Inf	Inf	Inf	Inf	32	40	Inf	Inf	Inf	Inf	Inf	75	61	Inf	Inf	Inf	36	Inf	Inf	Inf	Inf	Inf	Inf	72	Inf	Inf	56	29	Inf	45	Inf	Inf	Inf	45	29	47	Inf	31
32072	124551	62344	113101	115322	9289	131421	121502	6805	197	110516	19517	127040	81149	46346	50452	2110	29845	119400	121828	112762	119602	115373	20246	107634	119011	114293	115957	16472	128832	131217	123725	84222	120037	127941	125472	21995	121521	18142	94	58644	4375	77818	127657	26184	26675	3856	35220	29964	12206
Inf	Inf	Inf	Inf	Inf	343	Inf	Inf	2494	Inf	Inf	89	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	329
77874	74256	65973	71355	68059	11832	79293	72505	67252	71755	68863	34318	73903	72410	46346	50452	72282	70723	68634	70895	71925	71070	68084	68123	74517	70953	69902	70065	67500	71525	72737	74103	79251	71556	71172	73396	69998	73641	74585	71649	58644	72775	73049	71409	26184	72267	66621	67658	29964	68519
50	Inf	Inf	Inf	Inf	41	Inf	Inf	Inf	32	Inf	36	Inf	Inf	Inf	Inf	32	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	45	Inf	Inf	Inf	Inf	Inf	Inf	Inf	35
