Inf	Inf	Inf	Inf	Inf	49	Inf	Inf	Inf	47	Inf	Inf	Inf	Inf	Inf	Inf	56	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	Inf	Inf	Inf	Inf	Inf	58	Inf	Inf	37
1438	1442	1369	1377	1397	1226	1530	1425	1424	104	1352	1437	1485	1382	1439	1492	229	1402	1362	1457	1438	1440	1352	1392	1504	1409	1419	1395	1353	1434	1430	1457	1551	1392	1413	1440	1403	1481	1471	55	1453	1433	1431	1420	1386	1446	291	1364	1437	62
Inf	Inf	Inf	Inf	Inf	57	Inf	Inf	100	Inf	Inf	55	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	149	Inf	65	Inf	Inf	Inf	Inf	Inf	Inf	Inf	39
66745	66607	62684	64580	64260	1318	69869	65204	2002	64575	62381	42630	67559	64474	46346	50452	66310	65054	63049	65940	65814	66216	61735	62797	59375	64441	65102	63539	62516	65008	66489	67648	71663	65292	64869	66046	64388	67890	67460	28005	58644	18430	65742	65450	26184	66979	62248	62902	29964	21015
Inf	Inf	Inf	Inf	Inf	81	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	Inf	Inf	Inf	Inf	Inf	43	Inf	Inf	Inf
1460	1402	1312	1347	1349	1074	1496	1382	1374	1328	1250	1430	1440	1366	1385	1460	1403	1369	1297	1411	1421	1397	1314	1313	1456	1390	1297	1349	1315	1381	1392	1420	1500	1362	1382	1392	1350	1430	1422	47	1404	1387	1394	1379	1357	1419	80	1320	1386	1364
Inf	Inf	Inf	Inf	Inf	71	Inf	Inf	116	Inf	Inf	42	Inf	Inf	Inf	Inf	Inf	34	Inf	Inf	Inf	Inf	Inf	Inf	75	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	82	43	Inf	109	Inf	Inf	Inf	Inf	45	Inf	Inf	Inf
67498	64032	60446	61983	61974	405	67618	63266	15427	62780	60704	58	65596	62571	46346	50452	64431	13184	61160	64036	63619	64277	59546	60597	33711	63182	63083	61464	59702	62710	64147	64624	68342	62805	62351	63599	62139	65708	8654	18662	58644	34361	63473	62888	26184	64591	125	60485	29964	62830
Inf	Inf	Inf	Inf	Inf	61	Inf	Inf	Inf	Inf	Inf	108	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	133	Inf	124	Inf	Inf	Inf	Inf	Inf	Inf	Inf	37
70185	50640	48045	49387	49183	552	74968	49667	49589	74401	47904	63659	57910	72834	46346	50452	51071	72840	48505	71003	50137	51013	47317	48406	63789	52012	50142	48921	47960	50304	67404	54677	84222	52905	50291	80045	48822	51768	57824	44345	51487	5281	50058	49798	26184	59827	47500	47543	29964	22359
