Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2	4	7	3	6	7	4	5	4	9	7	12	5	4	3	2	5	9	4	8	1	5	4	1	1	1	10	10	13	4	1	9	3	2	4	7	4	1	3	7	7	3	5	5	13	5	1	3	6	1
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2	4	7	3	6	7	4	5	4	9	7	12	5	4	3	2	5	9	4	8	1	5	4	1	1	1	10	10	13	4	1	9	3	2	4	7	4	1	3	7	7	3	5	5	13	5	1	3	6	1
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2	4	7	3	6	7	4	5	4	9	7	12	5	4	3	2	5	9	4	8	1	5	4	1	1	1	10	10	13	4	1	9	3	2	4	7	4	1	3	7	7	3	5	5	13	5	1	3	6	1
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2	4	7	3	6	7	4	5	4	9	7	12	5	4	3	2	5	9	4	8	1	5	4	1	1	1	10	10	13	4	1	9	3	2	4	7	4	1	3	7	7	3	5	5	13	5	1	3	6	1
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
2	4	7	3	6	7	4	5	4	9	7	12	5	4	3	2	5	9	4	8	1	5	4	1	1	1	10	10	13	4	1	9	3	2	4	7	4	1	3	7	7	3	5	5	13	5	1	3	6	1
